((572, 276572))	347815	19771	452004	401857	228617	280866	349227	61469	437611	329217	194402	101821	70567	359778	53753	351050	80352	436454	349470	281427	431502	285107	395754	344380	244044	88057	236785	48195	306800	220456	75234	375284	229784	414768	392635	127723	199885	179840	268374	329378	226400	210388	8837	388926	77227	393143	27582	307408	351129	329214
((572, 338058))	319030	375284	289174	347815	451653	61469	280566	85830	443471	48195	207724	8837	435320	123894	401857	379106	199885	432631	169259	351050	349470	86538	351129	430625	418042	253382	101821	337543	388926	213027	281427	306800	268374	430566	456431	127723	188324	52212	329217	171864	82503	27582	281432	329214	280866	349227	272396	307022	267310	344380
((572, 95543))	367221	319030	329378	443776	101821	220456	207724	272396	77227	351050	127723	297412	392635	430566	451653	52212	425499	337543	373988	414768	393143	452004	401158	324776	456431	23739	228617	66664	222315	48195	123894	82503	303812	80352	70567	213027	433612	437611	165361	329214	55888	365982	436454	229784	61469	418042	188324	80130	307022	268374
((572, 15675))	75234	66664	101821	392635	127723	220456	379106	402730	289174	329217	329214	245681	351050	280566	222315	349470	349227	308225	52212	32508	213027	86497	431502	253382	19771	236785	205851	27582	172830	8837	332739	436454	244044	86538	306032	351129	388926	123894	451653	80352	373988	316627	456431	443776	229784	80130	165361	281427	414768	443471
((572, 420213))	210388	268374	307022	426210	303812	332739	392635	228617	172830	264712	57588	77088	436454	316627	199885	307408	245681	379106	280566	388926	194402	244044	82503	289174	23739	306800	88057	452004	402730	329378	344380	435320	77227	165361	226400	324776	80352	425499	220456	86693	189738	351050	365982	319030	297412	329214	359778	329217	253382	55888
((572, 210330))	52212	82503	443471	393143	307408	306800	207724	430625	236785	222315	392635	244044	351129	267310	388926	136865	307022	123894	431502	213027	435320	53753	77088	19771	101821	303812	280566	308225	189738	48195	268374	401158	169259	349227	188324	30324	373988	171864	426210	86497	297412	329217	201329	306032	349470	402730	253382	199885	86693	367221
((572, 135641))	264712	171864	289174	392635	75234	451653	267310	115423	207724	307022	281427	57588	430566	324776	80352	69523	82503	332739	245681	280566	307187	351129	61469	188324	349470	306032	443776	281432	435320	280866	365982	414768	452004	70567	66664	123894	308225	27582	229784	303812	228617	401857	85830	437611	337543	319030	344380	220456	306800	55888
((572, 263131))	169259	201329	306800	86693	285107	281432	75234	395754	426210	205851	388926	226400	207724	452004	308225	402730	172830	194402	171864	373988	297412	281427	70567	222315	425499	77227	52212	332739	349470	86497	245681	431502	88057	430625	329378	236785	189738	433612	61469	228617	401158	436454	344380	268374	253382	55888	197821	451653	123894	8837
((572, 412278))	306800	267310	220456	52212	264712	70567	349470	8837	351129	402730	77088	123894	379106	69523	347815	388926	401158	236785	329217	452004	433612	324776	101821	86538	430566	229784	194402	205851	395754	367221	201329	319030	199885	329378	80130	86693	27582	443776	75234	373988	272396	197821	308225	179840	115423	280866	426210	171864	281432	307187
((572, 409058))	30324	306800	365982	430566	85830	61469	452004	332739	414768	136865	430625	57588	402730	52212	77088	437611	236785	86538	319030	201329	27582	280566	245681	351129	307187	401857	55888	77227	268374	179840	213027	281427	229784	285107	75234	244044	349227	307408	456431	349470	280866	70567	303812	80130	207724	86693	351050	359778	205851	66664
